service;date;time;message;sentimen
twitter;07/31/2021;10:44:00;ppkm ga mungkin kayanya diperpanjang lagi 😂;Netral
twitter;07/07/2021;13:49:00;Aku ga suka ppkm aku suka nya ppk kamu;Negatif
twitter;07/28/2021;12:40:00;@HumasResBKL #IsolasiTerpusatEfektif\nVaksinasi Jaga Kesehatan;Positif
twitter;08/23/2021;09:36:00;@lampungbase Keknya buka tp cuma sampe jam 5??;Netral
twitter;07/04/2021;17:08:00;@amoisea ppkm anjirr, gabole kemana-mana 😌;Negatif
twitter;08/09/2021;10:35:00;Penerapan PPKM Level 3, 2 dan 1\nTanggal 3-9 Agustus 2021\n\nSumber : Inmendagri No 29 tahun 2021\n#Optimalkan3Tdan5M https://t.co/wrHxUuv9nu;Positif
twitter;07/08/2021;15:46:00;@OneRoyal86 Tenang�?...Covid musuh bersama;Positif
twitter;08/31/2021;22:52:00;RT @PartaiSocmed: Pak @jokowi menolak Karantina Wilayah krn keberatan menjamin kebutuhan rakyat tapi menerapkan PPKM sambil melempar2 bingk…;Negatif
twitter;07/21/2021;22:17:00;RT @PutraWadapi: Baru ada di Indonesia utk mengatasi pandemi corona saja hrs gonta Ganti Nama Pembatasan Corona mulai dr PSBB, PPKM, PPKM D…;Negatif
twitter;08/30/2021;12:53:00;RT @CNNIndonesia: Ahli Dorong Lanjutkan PPKM, Antisipasi Lonjakan di September cnnindonesia.com/nasional/20210…;Netral
twitter;08/16/2021;20:46:00;@radenrauf Alangkah baiknya di aamiin kan sajah;Netral
twitter;10/26/2021;22:03:00;"melaksanakan  patroli Woro Woro dan operasi masker : \n1.agar selalu mematuhi 5M \n2.himbauan kpd masy ttg \n- Intruksi Bupati Cilacap No 15 melu 2021 Tanggal 15 Juni 2021,Ttg Perpanjangan PPKM Berbasis Mikro &amp; Pengoptimalan Posko Penanganan Covid 19 di Kabupaten Cilacap https://t.co/owDanMALSH";Netral
twitter;08/02/2021;19:33:00;RT @pantungalimar:Yaahh.. PPKM diperpanjang lagi yaaa sampai kau jadi miliku uwooo uwooo oo oo ooo sampai kau jadi milikuuuu~;Negatif
twitter;07/15/2021;16:05:00;RT @DKIJakarta:Seiring dengan peningkatan kasus positif COVID-19, Pemprov DKI Jakarta menetapkan ketentuan baru untuk meningkatkan pengendalian Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) Darurat Jakarta, mulai 3-20 Juli 2021.\n\n#JagaJakarta #ppkmdarurat #JakartaBangkit #vaksindulu https://t.co/H9RgmCxPO1;Netral
twitter;07/03/2021;23:10:00;PPKM Darurat dan Vaksinasi di Wilayah Kecamatan Kintamani\n\n@Korem163Wsa  @Kodam9Udayana @tni_ad @puspen_tni #puspen_ad @bangli @infobali @cucitangan @pakaimasker @jagajarak #VaksinasiCovid19 https://t.co/cFcrSoLiic;Positif
twitter;07/03/2021;22:31:00;Resah Warga PPKM Darurat:Lebih Parah, Bakal Nunggak Kontrakan\nhttps://t.co/mymbbkYVPs;Negatif
twitter;08/24/2021;00:30:00;PPKM level 4 Palembang Berlanjut Hingga 6 September,  Ini Alasannya - sumselterkini.co.id/palembang/ppkm… https://t.co/ztFKUY6YY0;Netral
twitter;07/13/2021;13:47:00;RT @GakkkPulanggg:PPKM Darurat s.d 20 Juli: Pelan Pelan Kita Miskin\nPPKM sampai Agustus: Pelan Pelan Kita Melarat\nPPKM sampai akhir tahun: Pelan Pelan Kita Mati https://t.co/m58OPBMwF0;Negatif
twitter;07/11/2021;06:06:00;@JebulMania291 Yg berani gini, cman surabaya utara�?;Netral
twitter;07/26/2021;16:19:00;RT @retnosetyow4t:PPKM Darurat level 4 diperpanjang itu demi kebaikan kita bersama loh \n#UsahaKecilBisaBuka https://t.co/f1hXUVCHZr;Positif
twitter;07/04/2021;16:22:00;dimana mana bahas ppkm ama covid, ga seru bgt.;Netral
twitter;07/20/2021;11:48:00;Selama Libur Idul Adha, Korps Lalu Lintas (Korlantas) Polri menambah titik penyekatan  pemberlakuan pembatasan kegiatan masyarakat (PPKM) darurat  menjadi sebanyak 1.038 titik penyekatan\n#IdulAdhaTaatProkes\nHindari Kerumunan Jaga5M https://t.co/uwQnlvsCaw;Netral
twitter;07/14/2021;16:28:00;RT @IpungLombok:Seberapa peka pemerintah terhadap  fakir miskin dan anak terlantar? \nsampai nenek ini harus keluar mengais rezeki dimasa PPKM Darurat...\nrezim ini sdh melanggar UUD 45 wajib diturunkan https://t.co/uIJqXnJQ1S;Negatif
twitter;07/30/2021;07:32:00;"RT @Hilmi28: Kmrin ketika membahas ttg denda PPKM 48rb utk Kades &amp; 500rb utk anggota dewan lalu dibandingkan dgb denda HRS &amp; Tkg Bubur, tak…";Negatif
twitter;07/06/2021;18:58:00;@KAI121 Min malabar masih jalan kah selama ppkm?? Terima kasih;Netral
twitter;09/09/2021;10:57:00;Pada ajang Pekan Olahraga Nasional (PON) XX di Papua Oktober mendatang, NTB akan mengirim 106 atlet. Ketua Kontingen NTB, H. Mori Hanafi memastikan keamanan dan kesehatan atlet yang ikut bertanding.\n\nSelengkapnya:\nhttps://t.co/LAs47qaUi6;Netral
twitter;09/06/2021;09:37:00;@Riyansupyans Hmm 🤔\n\nbtw nitip ya kak, siapa tau fllwers kaka baca, walau ppkm udh longgar, ttp jaga prokes nya, yuk di beli masker kain tanpa tali, solusi simple double masker, cek video tutorial di shopee dan jgn lupa co ya! �?�?\n\nhttps://t.co/pVuHMmipzu;Positif
twitter;07/06/2021;13:44:00;@KAI121 Min apa setelah ppkm selesai layanan tes genose akan ada kembali?;Netral
twitter;07/29/2021;12:40:00;RT @HumasResBKL:Dalam perpanjangan PPKM Level 4 hingga 2 Agustus 2021, pemerintah melakukan pelonggaran terhadap pusat perekonomian masyarakat salah satunya adalah, pasar rakyat.\n#PolriSalurkanBansos\nKomitmen Atasi Pandemi https://t.co/VIm9v1ezF0;Positif
twitter;07/05/2021;09:35:00;@mamunmurod_ @jokowi Sdh utang kedalam dan keluar, pk cara keras nakut nakutin rakyat melalui PPKM , Bayar sendiri, TKA MASUK dg Dalih punya surat vaksin, apa gk hebat itu?\nPantas disebut #KingOfLipService;Negatif
twitter;10/27/2021;10:36:00;PPKM Level2, Polres Kepulauan Seribu dan Polsek Jajaran Disiplinkan warga dengan menggelar Ops Yustisi Gabungan. Rabu (27/10/2021).\n\n#ayopakaimasker\n#ppkm\n#ppkmlevel2\n#polreskepulauanseribu\n#pulauseribu\n#protokolkesehatan\n#kampungtangguhjaya\n#nyokkitevaksin https://t.co/mx2Ew0qkqm;Positif
twitter;07/21/2021;17:41:00;RT @FiersaBesari:PPKM dikasih level, emang Boncabe;Negatif
twitter;07/21/2021;16:30:00;ppkm level pedes gila *serasa pesen ayam geprek;Negatif
twitter;07/12/2021;05:55:00;RT @PutraWadapi: Dibentak Polisi saat Razia PPKM, Pedagang Ngamuk: Bapak Masih Gajian, Saya Gak Buka Gak Makan!\ngelora.co/2021/07/dibent…;Negatif
twitter;07/25/2021;21:06:00;RT @shuacob:kalo diperpanjang sampe akhir agustus ntar jadi ppkm next level https://t.co/563Mco3skL;Negatif
twitter;07/05/2021;08:00:00;Hasil putusan MA sah dan PPKM Pulihkan Bangsa https://t.co/1Fjgi9V6xi;Positif
twitter;07/14/2021;11:59:00;@syafniir Bener banget. Sekalian suruh ngadep Jokowi kalau mau pinjam duit. 😂\nhttps://t.co/SE0a0Vfh9p;Negatif
twitter;07/04/2021;14:02:00;RT @fsskroeppreal: PPKM - Pernah percaya kemudian menyesal.~ https://t.co/GT6k6wPMFb;Negatif
twitter;08/16/2021;21:41:00;Ppkm diperpanjang lagi ibarat pas mau nagih utang bilangnya plis minggu depannya lagi yaah duitnya abis kepake bayar ini dan itu hehe;Negatif
twitter;07/04/2021;17:12:00;RT @CNNIndonesia: 20 TKA China Masuk Sulsel Kala PPKM Darurat Jawa-Bali https://t.co/Kq8cWi5I4g;Negatif
twitter;08/04/2021;17:20:00;@hello_fika Semangat trs buat gandeng layanan internet Smartfrennya ya kak. Tetap jaga kesehatan dan jangan lupa pakai masker ya Kak. Terima kasih sobat setia Smartfren. Zura;Positif
twitter;07/24/2021;20:38:00;RT @HmfaqihA:Buru sampai keakar2nya\n👇\n Buru Penyebar Informasi Demo Tolak PPKM Level 4 di DKI Jakarta | Megapolitan - https://t.co/wkL8z24B6r https://t.co/r5b6kfbuL9;Netral
twitter;07/03/2021;09:52:00;Kisah Sedih di Hari Sabtu 🥲🥺😭💔 \n\n#ppkm https://t.co/pAtejnZ7HW;Negatif
twitter;08/24/2021;16:10:00;RT @masmasjawabgt: Giveaway PPKM level 3\n\nSaldo 100rb atau Indomie 1 kardus atau 1 dus susu\n\nRT dan like tweet ini\n\nFollow saya\n\nSelesai 9…;Netral
twitter;07/25/2021;09:53:00;"@DilaLaNadil Yes\nPpkm darurat dimana""🥱";Netral
twitter;07/21/2021;09:16:00;@PNS_Garis_Lucu siapa yg pagi2 dah disuruh bos ke kantor, pdhl msh PPKM?;Negatif
twitter;08/02/2021;19:27:00;"RT @detikcom:""Pemerintah memutuskan melanjutkan penerapan PPKM level 4 dari tanggal 3 sampai 9 Agustus di beberapa kabupaten/kota tertentu,"" kata Presiden Jokowi. https://t.co/Q7aERsdxQs";Netral
twitter;07/26/2021;06:57:00;@dudunburhanudi2 Hai kak. Ketentuan tersebut berlaku selama masa PPKM level 4. Silakan unduh Aplikasi TIJE agar selalu mengetahui informasi terkini mengenai Transjakarta. Terima kasih ^Ap;Netral
twitter;07/20/2021;12:42:00;RT @JoeTheLego: Lagi dan lagi\nMenolong mahasiswi di masa PSBB part 3 https://t.co/ScpYu7EnE6;Positif
twitter;07/21/2021;19:06:00;RT @poconghypebeast: Istilah - istilah di masa pandemi\n\nPSBB \nPSBB Total\nPSBB Transisi\nPPKM\nPPKM Mikro\nPPKM Darurat\nPPKM Level 1\nPPKM Level…;Netral
twitter;10/04/2021;07:52:00;RT @CNNIndonesia: PPKM Level 1-4 di Indonesia Berakhir Hari Ini cnnindonesia.com/nasional/20211…;Positif
twitter;07/02/2021;17:15:00;Pelaksanaan Ops Yustisi penegakan disiplin untuk mematuhi Protokol kesehatan dalam rangka penerapan PPKM , guna men… https://t.co/w23VrHv1px;Positif
twitter;08/31/2021;15:58:00;Protokol kesehatan yang ketat harus di patuhi dan di terapkan saat PON XX Papua berlangsung untuk kelancaran dan kesuksesan agar tetap aman\n\n#PolriAmankanPON2021\nPatuhi Prokes PPKM https://t.co/xmb0B8vTRl;Positif
twitter;08/01/2021;22:00:00;Lokasi Pengendalian Mobilitas di Jalan Tol Jasa Marga Group dan Mekanisme Penyekatan Dalam Rangka Penerapan PPKM Darurat. https://t.co/lXzylxM0zH;Positif
twitter;07/04/2021;16:51:00;RT @PDungingi: Kapolri meninjau titik di wilayah Tegal Alur, Jakarta Barat untuk memastikan pelaksanaan PPKM darurat hari pertama berlangsu…;Positif
